"Case","OCC_DATE","OCC_YEAR","OCC_Month","OCC_QTR","CASE_STATUS_DESC","UCR","UCR_EXT_CODE","OFFENSE_DESC","Bias Type","LOC_CODE","Location_Description","DeIdentifiedLocation","X_COORDINATE","Y_COORDINATE"
"202253426","2022-01-26",2022,1,1,"REFUSED BY DA - NO LIKELIHOOD OF CONVICTION","1313","0","ASSAULT - SIMPLE","ANTI-GAY (MALE)",NULL,NULL,"900 BLOCK AURARIA PKWY",3138447,1697339
"202221799","2022-01-14",2022,1,1,"STATE CHARGE WARRANT ISSUED","1316","0","THREATS TO INJURE","ANTI-HISPANIC OR LATINO",NULL,NULL,"2300 BLOCK S LIPAN ST",3140267,1671020
"202211394","2022-01-07",2022,1,1,"OPEN","1313","0","ASSAULT - SIMPLE","ANTI-LESBIAN, GAY, BISEXUAL, OR TRANSGENDER (MIXED GROUP)",NULL,NULL,"16TH ST / CHAMPA ST",3142299,1697200
"2021729353","2021-12-31",2021,12,4,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","2","MENACING - FELONY W/WEAP","ANTI-BLACK OR AFRICAN AMERICAN","18","PARKING LOT/GARAGE","7100 BLOCK E MISSISSIPPI AVE",3167163,1678018
"2021729353","2021-12-31",2021,12,4,"ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED","1315","2","MENACING - FELONY W/WEAP","ANTI-BLACK OR AFRICAN AMERICAN","18","PARKING LOT/GARAGE","7100 BLOCK E MISSISSIPPI AVE",3167163,1678018
"2021715868","2021-12-22",2021,12,4,"INACTIVE","1315","2","MENACING - FELONY W/WEAP","ANTI-BLACK OR AFRICAN AMERICAN","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","W COLORADO AVE / S DECATUR ST",3134333,1674410
"2021715868","2021-12-22",2021,12,4,"INACTIVE","1315","2","MENACING - FELONY W/WEAP","ANTI-BLACK OR AFRICAN AMERICAN","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","W COLORADO AVE / S DECATUR ST",3134333,1674410
"2021715508","2021-12-19",2021,12,4,"OPEN","5309","0","HARASSMENT","ANTI-GAY (MALE)","20","RESIDENCE/HOME","100 BLOCK N DELAWARE ST",3142714,1687068
"2021664627","2021-11-24",2021,11,4,"INACTIVE","1315","2","MENACING - FELONY W/WEAP","ANTI-ARAB","13","HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK","1000 BLOCK N LINCOLN ST",3144630,1692296
"2021663893","2021-11-23",2021,11,4,"INACTIVE","1205","0","ROBBERY - STREET","ANTI-GAY (MALE)","1","AIR/BUS/TRAIN TERMINAL","1000 BLOCK N SHERIDAN BLVD",3125556,1692310
